naam,rapport,verantwoordelijke_organisatie,identificator_organisatie,publicatiedatum,type_toepassing,categorie,beschrijving,specificatiedocument,documentatie,charter,verslagen,presentaties,functioneel_toepassingsgebied,organisatorisch_werkingsgebied,datum_van_aanmelding,erkenning_werkgroep_datastandaarden,erkenning_stuurgroep,datum_einde_review,organisatie,herroeping_stuurgroep,register,datum_van_review
Applicatieprofiel Kabels en Leidingen,,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,,Aanbevolen,Applicatieprofiel,kabels-en-leidingen-description.md,"[{""naam"":""Kabels en Leidingen Applicatieprofiel"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/kabels-en-leidingen""},{""naam"":""Cables and Pipes Application profile"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/kabels-en-leidingen/index_en.html""},{""naam"":""Câbles et Conduites Profil d'application"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/kabels-en-leidingen/index_fr.html""}]",[],"[{""naam"":""Charter"",""waarde"":""Charter OSLO IMKL.docx""}]","[{""naam"":""Verslag business werkgroep - 24 april 2023"",""waarde"":""Verslag Business Workshop IMKL.pdf""},{""naam"":""Verslag thematische werkgroep 1 - 25 mei 2023"",""waarde"":""Verslag Thematische Werkgroep 1 IMKL.pdf""},{""naam"":""Verslag thematische werkgroep 2 - 29 juni 2023"",""waarde"":""Verslag Thematische Werkgroep 2 IMKL.pdf""},{""naam"":""Verslag thematische werkgroep 3 - 7 september 2023"",""waarde"":""Verslag Thematische Werkgroep 3 IMKL.pdf""},{""naam"":""Verslag thematische werkgroep 4 - 5 oktober 2023"",""waarde"":""Verslag Thematische Werkgroep 4 IMKL.pdf""},{""naam"":""Verslag Webinar Publieke Review IMKL - 28 november 2023"",""waarde"":""Verslag Webinar IMKL 28.11.2023.pdf""},{""naam"":""Technisch Rapport NL"",""waarde"":""Technisch rapport OSLO IMKL - NL (3).pdf""},{""naam"":""Technisch Rapport FR"",""waarde"":""Technisch rapport OSLO IMKL - FR.pdf""}]","[{""naam"":""Presentatie business werkgroep - 24 april 2023"",""waarde"":""Business Werkgroep presentatie IMKL - 24 april 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 25 mei 2023"",""waarde"":""Presentatie eerste thematische werkgroep - IMKL -  25 mei 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 29 juni 2023"",""waarde"":""Presentatie tweede thematische werkgroep - IMKL -  29 juni 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 3 - 7 september 2023"",""waarde"":""Presentatie derde thematische werkgroep - IMKL - 7 september  2023.pdf""},{""naam"":""Presentatie thematische werkgroep 4 - 5 oktober 2023"",""waarde"":""Presentatie vierde thematische werkgroep - IMKL - 5 oktober 2023.pdf""},{""naam"":""Presentatie Webinar Publieke Review IMKL - 28 november 2023"",""waarde"":""Presentatie Webinar Publieke Review.pdf""}]",Semantische standaard voor informatie over kabels en leidingen,Alle entiteiten van de Vlaamse Overheid,2023-02-17,TBD,TBD,undefined,undefined,undefined,undefined,undefined
Vocabularium Nutsvoorzieningen,,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,,Aanbevolen,Vocabularium,kabels-en-leidingen-description.md,"[{""naam"":""Nutsvoorzieningen Vocabularium"",""waarde"":""https://data.vlaanderen.be/ns/nutsvoorzieningen""},{""naam"":""Utility Services Vocabularium"",""waarde"":""https://data.vlaanderen.be/ns/nutsvoorzieningen/index_en.html""},{""naam"":""Câbles et Conduites Vocabulaire"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/kabels-en-leidingen/index_fr.html""}]",[],"[{""naam"":""Charter"",""waarde"":""Charter OSLO IMKL.docx""}]","[{""naam"":""Verslag business werkgroep - 24 april 2023"",""waarde"":""Verslag Business Workshop IMKL.pdf""},{""naam"":""Verslag thematische werkgroep 1 - 25 mei 2023"",""waarde"":""Verslag Thematische Werkgroep 1 IMKL.pdf""},{""naam"":""Verslag thematische werkgroep 2 - 29 juni 2023"",""waarde"":""Verslag Thematische Werkgroep 2 IMKL.pdf""},{""naam"":""Verslag thematische werkgroep 3 - 7 september 2023"",""waarde"":""Verslag Thematische Werkgroep 3 IMKL.pdf""},{""naam"":""Verslag thematische werkgroep 4 - 5 oktober 2023"",""waarde"":""Verslag Thematische Werkgroep 4 IMKL.pdf""},{""naam"":""Verslag Webinar Publieke Review IMKL - 28 november 2023"",""waarde"":""Verslag Webinar IMKL 28.11.2023.pdf""},{""naam"":""Technisch Rapport NL"",""waarde"":""Technisch rapport OSLO IMKL - NL (3).pdf""},{""naam"":""Technisch Rapport FR"",""waarde"":""Technisch rapport OSLO IMKL - FR.pdf""}]","[{""naam"":""Presentatie business werkgroep - 24 april 2023"",""waarde"":""Business Werkgroep presentatie IMKL - 24 april 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 25 mei 2023"",""waarde"":""Presentatie eerste thematische werkgroep - IMKL -  25 mei 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 29 juni 2023"",""waarde"":""Presentatie tweede thematische werkgroep - IMKL -  29 juni 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 3 - 7 september 2023"",""waarde"":""Presentatie derde thematische werkgroep - IMKL - 7 september  2023.pdf""},{""naam"":""Presentatie thematische werkgroep 4 - 5 oktober 2023"",""waarde"":""Presentatie vierde thematische werkgroep - IMKL - 5 oktober 2023.pdf""}]",Semantische standaard voor informatie over kabels en leidingen,Alle entiteiten van de Vlaamse Overheid,2023-02-17,TBD,TBD,undefined,undefined,undefined,undefined,undefined
Applicatieprofiel Vastgoed,,Agentschap Digitaal Vlaanderen,http://data.vlaanderen.be/id/organisatie/OVO002949,TBD,TBD,Applicatieprofiel,vastgoed.md,"[{""naam"":""Vastgoed Applicatieprofiel"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/vastgoed""}]",[],[],"[{""naam"":""Verslag business werkgroep - 19 januari 2021"",""waarde"":""OSLO vastgoed - Business werkgroep - 19012021 - verslag.pdf""},{""naam"":""Verslag thematische werkgroep 1 - 9 februari 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 1 - 09022021 - verslag.pdf""},{""naam"":""Verslag thematische werkgroep 2 - 1 april 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 2 - 01042021 - verslag.pdf""},{""naam"":""Verslag thematische werkgroep 3 - 12 mei 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 3 - 12052021 - verslag.pdf""}]","[{""naam"":""Presentatie business werkgroep - 19 januari 2021"",""waarde"":""OSLO vastgoed - Business werkgroep - 19012021 - presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 9 februari 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 1 - 09022021 - presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 1 april 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 2 - 01042021 - presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 3 - 12 mei 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 3 - 12052021 - presentatie.pdf""},{""naam"":""Presentatie wijzigingen voor publieke review"",""waarde"":""OSLO vastgoed - Wijzigingen Publieke Review.pdf""}]",Semantische standaard voor informatie over vastgoedinlichtingen,Alle entiteiten van de Vlaamse overheid,12 November 2020,TBD,TBD,undefined,undefined,undefined,undefined,undefined
Vocabularium Vastgoed,,Agentschap Digitaal Vlaanderen,http://data.vlaanderen.be/id/organisatie/OVO002949,TBD,TBD,Vocabularium,vastgoed.md,"[{""naam"":""Vastgoed Vocabularium"",""waarde"":""https://data.vlaanderen.be/ns/vastgoed""}]",[],[],"[{""naam"":""Verslag business werkgroep - 19 januari 2021"",""waarde"":""OSLO vastgoed - Business werkgroep - 19012021 - verslag.pdf""},{""naam"":""Verslag thematische werkgroep 1 - 9 februari 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 1 - 09022021 - verslag.pdf""},{""naam"":""Verslag thematische werkgroep 2 - 1 april 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 2 - 01042021 - verslag.pdf""},{""naam"":""Verslag thematische werkgroep 3 - 12 mei 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 3 - 12052021 - verslag.pdf""}]","[{""naam"":""Presentatie business werkgroep - 19 januari 2021"",""waarde"":""OSLO vastgoed - Business werkgroep - 19012021 - presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 9 februari 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 1 - 09022021 - presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 1 april 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 2 - 01042021 - presentatie.pdf""},{""naam"":""Presentatie thematische werkgroep 3 - 12 mei 2021"",""waarde"":""OSLO vastgoed - Thematische werkgroep 3 - 12052021 - presentatie.pdf""},{""naam"":""Presentatie wijzigingen voor publieke review"",""waarde"":""OSLO vastgoed - Wijzigingen Publieke Review.pdf""}]",Semantische standaard voor informatie over vastgoedinlichtingen,Alle entiteiten van de Vlaamse overheid,12 November 2020,TBD,TBD,undefined,undefined,undefined,undefined,undefined
Vocabularium en applicatieprofiel Slim Ruimtelijk Plannen,,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,2023-10-23,,Vocabularium en applicatieprofiel,slim-ruimtelijk-plannen-description.md,"[{""naam"":""Slim Ruimtelijk Plannen vocabularium en applicatieprofiel"",""waarde"":""https://data.test-vlaanderen.be/doc/applicatieprofiel/slim-ruimtelijk-plannen/ontwerpstandaard/2023-12-12""}]",[],"[{""naam"":""Projectcharter"",""waarde"":""Werkgroep-charter-OSLO_SlimRuimtelijkPlannen.docx""}]","[{""naam"":""Verslag Business werkgroep - OSLO Slim Ruimtelijk Plannen 27 september 2023"",""waarde"":""Verslag Business werkgroep SRP 2023-09-27.pdf""},{""naam"":""Verslag thematische werkgroep 1 - OSLO Slim Ruimtelijk Plannen 25 oktober 2023"",""waarde"":""Verslag 1e thematische werkgroep SRP 2023-09-25.pdf""},{""naam"":""Verslag thematische werkgroep 2 - OSLO Slim Ruimtelijk Plannen 30 november 2023"",""waarde"":""Verslag thematische werkgroep 2 - OSLO Slim Ruimtelijk Plannen 30 november 2023.docx""},{""naam"":""Verslag thematische werkgroep 3 - OSLO Slim Ruimtelijk Plannen 21 december 2023"",""waarde"":""Verslag thematische werkgroep 3 - OSLO Slim Ruimtelijk Plannen 21 december 2023.pdf""},{""naam"":""Verslag thematische werkgroep 4 - OSLO Slim Ruimtelijk Plannen 1 februari 2024"",""waarde"":""Verslag 4e thematische werkgroep SRP 2024-02-01.pdf""}]","[{""naam"":""Business Werkgroep presentatie Slim Ruimtelijk Plannen 27 september 2023"",""waarde"":""Business Werkgroep presentatie Slim Ruimtelijk Plannen.pdf""},{""naam"":""Eerste Thematische Werkgroep presentatie Slim Ruimtelijk Plannen 25 oktober 2023"",""waarde"":""Eerste Thematische Werkgroep presentatie Slim Ruimtelijk Plannen.pdf""},{""naam"":""Tweede Thematische Werkgroep presentatie Slim Ruimtelijk Plannen 30 november 2023"",""waarde"":""Presentatie thematische werkgroep 2 - 30 november 2023.pdf""},{""naam"":""Derde Thematische Werkgroep presentatie Slim Ruimtelijk Plannen 21 december 2023"",""waarde"":""Derde Thematische Werkgroep presentatie Slim Ruimtelijk Plannen 21 december 2023.pptx.pdf""},{""naam"":""Vierde Thematische Werkgroep presentatie Slim Ruimtelijk Plannen 1 februari 2024"",""waarde"":""Presentatie thematische werkgroep 4 - SRP.pdf""}]",Semantische standaard voor informatie over Slim Ruimtelijk Plannen,Alle entiteiten van de Vlaamse overheid,,,,undefined,undefined,undefined,undefined,undefined
OSLO Voorwaarden Dienstverlening,,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,2023-07-11,Aanbevolen (vrijwillig),Applicatieprofiel,template-description.md,"[{""naam"":""Applicatieprofiel Voorwaarden Dienstverlening"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/voorwaarden-dienstverlening/kandidaatstandaard/2023-07-11""}]",[],"[{""naam"":""Charter"",""waarde"":""Charter OSLO Voorwaarden Dienstverlening.docx.pdf""},{""naam"":""Documenten desk research"",""waarde"":""4. Desk research.zip""}]","[{""naam"":""Verslag business werkgroep - 6 april 2023"",""waarde"":""Verslag Business Workshop Voorwaarden Dienstverlening.pdf""},{""naam"":""Verslag thematische werkgroep 1 - 4 mei 2023"",""waarde"":""Verslag OSLO voorwaarden dienstverlening - thematische werkgroep 1.pdf""},{""naam"":""Verslag thematische werkgroep 2 - 15 juni 2023"",""waarde"":""Verslag OSLO voorwaarden dienstverlening - thematische werkgroep 2.pdf""},{""naam"":""Verslag thematische werkgroep 3 - 27 juli 2023"",""waarde"":""Verslag OSLO voorwaarden dienstverlening - thematische werkgroep 3.pdf""},{""naam"":""Verslag thematische werkgroep 4 - 13 oktober 2023"",""waarde"":""Verslag OSLO voorwaarden dienstverlening - thematische werkgroep 4.pdf""}]","[{""naam"":""Presentatie business werkgroep - 6 april 2023"",""waarde"":""Business Werkgroep presentatie - Voorwaarden Dienstverlening.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 4 mei 2023"",""waarde"":""Presentatie eerste thematische werkgroep - Voorwaarden Dienstverlening-  4 mei 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 15 juni 2023"",""waarde"":""Presentatie tweede thematische werkgroep - Voorwaarden Dienstverlening- 15 juni 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 3 - 27 juli 2023"",""waarde"":""Presentatie derde thematische werkgroep - Voorwaarden Dienstverlening- 27 juli 2023.pptx (1).pdf""},{""naam"":""Presentatie thematische werkgroep 4 - 13 oktober 2023"",""waarde"":""Presentatie vierde thematische werkgroep - Voorwaarden Dienstverlening-13oktober  2023.pdf""}]",Semantische standaard voor informatie over Voorwaarden Dienstverlening,Alle entiteiten van de Vlaamse Overheid,2023-02-17,TBD,TBD,undefined,undefined,undefined,undefined,undefined
Applicatieprofiel Incentiveringsplatform,,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,,Aanbevolen (vrijwillig),Applicatieprofiel,ap-Incentiveringsplatform.md,"[{""naam"":""Incentiveringsplatform Applicatieprofiel"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/incentiveringsplatform""}]",[],"[{""naam"":""OSLO Incentiveringsplatform Charter"",""waarde"":""Charter Incentiveringsplatform Lokale Economie.docx""}]","[{""naam"":""Verslag Business werkgroep - OSLO Incentiveringsplatform 18 april 2023"",""waarde"":""Verslag Business Werkgroep - OSLO Incentiveringsplatform 2.pdf""},{""naam"":""Verslag thematische werkgroep 1 - OSLO Incentiveringsplatform 9 mei 2023"",""waarde"":""Verslag Thematische Werkgroep - OSLO Incentiveringsplatform (1) (1).pdf""},{""naam"":""Verslag thematische werkgroep 2 - OSLO Incentiveringsplatform 13 juni 2023"",""waarde"":""Verslag Thematische Werkgroep 2 - OSLO Incentiveringsplatform.pdf""},{""naam"":""Verslag thematische werkgroep 3 - OSLO Incentiveringsplatform 4 juli 2023"",""waarde"":""Verslag Thematische Werkgroep 3 - OSLO Incentiveringsplatform.pdf""}]","[{""naam"":""Presentatie Business werkgroep -OSLO Incentiveringsplatform 18 april mei 2023"",""waarde"":""Business workshop (1).pdf""},{""naam"":""Presentatie thematische werkgroep 1 - OSLO Incentiveringsplatform 9 mei 2023"",""waarde"":""Presentatie thematische werkgroep 1 - Incentiveringplatform (1).pdf""},{""naam"":""Presentatie thematische werkgroep 2 - OSLO Incentiveringsplatform 13 juni 2023"",""waarde"":""Presentatie tweede thematische werkgroep - Incentiveringsplatform 13 juni 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 3 - OSLO Incentiveringsplatform 4 juli 2023"",""waarde"":""Presentatie derde thematische werkgroep - Incentiveringsplatform 4 juli 2023.pdf""}]",Semantische standaard voor informatie over incentiveringen (stimulansaanbiedingen),alle entiteiten van de Vlaamse overheid,16/03/2023,,,undefined,undefined,undefined,undefined,undefined
Vocabularium Incentiveringsplatform,,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,,Aanbevolen (vrijwillig),Vocabularium,voc-Incentiveringsplatform.md,"[{""naam"":""Incentiveringsplatform Applicatieprofiel"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/incentiveringsplatform""}]",[],"[{""naam"":""OSLO Incentiveringsplatform Charter"",""waarde"":""Charter Incentiveringsplatform Lokale Economie.docx""}]","[{""naam"":""Verslag Business werkgroep - OSLO Incentiveringsplatform 18 april 2023"",""waarde"":""Verslag Business Werkgroep - OSLO Incentiveringsplatform 2.pdf""},{""naam"":""Verslag thematische werkgroep 1 - OSLO Incentiveringsplatform 9 mei 2023"",""waarde"":""Verslag Thematische Werkgroep - OSLO Incentiveringsplatform (1) (1).pdf""},{""naam"":""Verslag thematische werkgroep 2 - OSLO Incentiveringsplatform 13 juni 2023"",""waarde"":""Verslag Thematische Werkgroep 2 - OSLO Incentiveringsplatform.pdf""},{""naam"":""Verslag thematische werkgroep 3 - OSLO Incentiveringsplatform 4 juli 2023"",""waarde"":""Verslag Thematische Werkgroep 3 - OSLO Incentiveringsplatform.pdf""}]","[{""naam"":""Presentatie Business werkgroep -OSLO Incentiveringsplatform 18 april mei 2023"",""waarde"":""Business workshop (1).pdf""},{""naam"":""Presentatie thematische werkgroep 1 - OSLO Incentiveringsplatform 9 mei 2023"",""waarde"":""Presentatie thematische werkgroep 1 - Incentiveringplatform (1).pdf""},{""naam"":""Presentatie thematische werkgroep 2 - OSLO Incentiveringsplatform 13 juni 2023"",""waarde"":""Presentatie tweede thematische werkgroep - Incentiveringsplatform 13 juni 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 3 - OSLO Incentiveringsplatform 4 juli 2023"",""waarde"":""Presentatie derde thematische werkgroep - Incentiveringsplatform 4 juli 2023.pdf""}]",Semantische standaard voor informatie over incentiveringen (stimulansaanbiedingen),alle entiteiten van de Vlaamse overheid,16/03/2023,,,undefined,undefined,undefined,undefined,undefined
Applicatieprofiel Verkeersmetingen,,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,01/12/2023,Aanbevolen (vrijwillig),Applicatieprofiel,ap-Verkeersmetingen.md,"[{""naam"":""Verkeersmetingen Applicatieprofiel"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/verkeersmetingen""},{""naam"":""Verkeersmetingen Applicatieprofiel (English)"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/verkeersmetingen/index_en.html""}]","[{""naam"":""Verkeersmetingen  vocabularium"",""waarde"":""https://data.vlaanderen.be/ns/verkeersmetingen""}]","[{""naam"":""OSLO Verkeersmetingen Charter"",""waarde"":""Werkgroep charter OSLO Verkeerssensor.docx""}]","[{""naam"":""Verslag Business Werkgroep - OSLO Verkeersmetingen 28 februari 2023"",""waarde"":""Verslag Business Werkgroep - OSLO Verkeersmetingen.pdf""},{""naam"":""Verslag thematische werkgroep 1 - OSLO Verkeersmetingen 4 april 2023"",""waarde"":""230404 - OSLO Verkeersmetingen - Thematische werkgroep 1 - Verslag.pdf""},{""naam"":""Verslag thematische werkgroep 2 - OSLO Verkeersmetingen 2 mei 2023"",""waarde"":""Verslag thematische werkgroep 2 - OSLO Verkeersmetingen.pdf""},{""naam"":""Verslag thematische werkgroep 3 - OSLO Verkeersmetingen 30 mei 2023"",""waarde"":""Verslag thematische werkgroep 3 - OSLO Verkeersmetingen (1).pdf""},{""naam"":""Verslag thematische werkgroep 4 - OSLO Verkeersmetingen 27 juni 2023"",""waarde"":""Verslag thematische werkgroep 4 - OSLO Verkeersmetingen.pdf""},{""naam"":""Verslag thematische werkgroep 5 - OSLO Verkeersmetingen"",""waarde"":""Verslag_Thematische_Werkgroep_5_OSLO_Verkeersmetingen.pdf""}]","[{""naam"":""Presentatie Business Werkgroep presentatie Verkeersmetingen 28 februari 2023"",""waarde"":""Business Werkgroep presentatie Verkeersmetingen.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 4 april 2023"",""waarde"":""Presentatie thematische werkgroep 1 - Verkeersmetingen.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 2 mei 2023"",""waarde"":""Presentatie tweede thematische werkgroep-Verkeersmetingen-2mei2023.pdf""},{""naam"":""Presentatie thematische werkgroep 3 - 30 mei 2023"",""waarde"":""Presentatie derde thematische werkgroep -Verkeersmetingen - 30 mei 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 4 - 27 juni 2023"",""waarde"":""Presentatie vierde thematische werkgroep -Verkeersmetingen - 27 juni 2023 (1).pdf""},{""naam"":""Verslag thematische werkgroep 5 - OSLO Verkeersmetingen"",""waarde"":""Presentatie_vijfde_thematische_werkgroep_Verkeersmetingen.pdf""}]",Semantische standaard voor informatie over Verkeersmetingen,alle entiteiten van de Vlaamse overheid,16/03/2023,,,undefined,undefined,undefined,undefined,undefined
Vocabularium Verkeersmetingen,,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,01/12/2023,Aanbevolen (vrijwillig),Vocabularium ,voc-Verkeersmetingen.md,"[{""naam"":""Verkeersmetingen Vocabularium"",""waarde"":""https://data.vlaanderen.be/ns/verkeersmetingen""}]","[{""naam"":""Verkeersmetingen Applicatieprofiel"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/verkeersmetingen/""}]","[{""naam"":""OSLO Verkeersmetingen Charter"",""waarde"":""Werkgroep charter OSLO Verkeerssensor.docx""}]","[{""naam"":""Verslag Business Werkgroep - OSLO Verkeersmetingen 28 februari 2023"",""waarde"":""Verslag Business Werkgroep - OSLO Verkeersmetingen.pdf""},{""naam"":""Verslag thematische werkgroep 1 - OSLO Verkeersmetingen 4 april 2023"",""waarde"":""230404 - OSLO Verkeersmetingen - Thematische werkgroep 1 - Verslag.pdf""},{""naam"":""Verslag thematische werkgroep 2 - OSLO Verkeersmetingen 2 mei 2023"",""waarde"":""Verslag thematische werkgroep 2 - OSLO Verkeersmetingen.pdf""},{""naam"":""Verslag thematische werkgroep 3 - OSLO Verkeersmetingen 30 mei 2023"",""waarde"":""Verslag thematische werkgroep 3 - OSLO Verkeersmetingen (1).pdf""},{""naam"":""Verslag thematische werkgroep 4 - OSLO Verkeersmetingen 27 juni 2023"",""waarde"":""Verslag thematische werkgroep 4 - OSLO Verkeersmetingen.pdf""}]","[{""naam"":""Presentatie Business Werkgroep presentatie Verkeersmetingen 28 februari 2023"",""waarde"":""Business Werkgroep presentatie Verkeersmetingen.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 4 april 2023"",""waarde"":""Presentatie thematische werkgroep 1 - Verkeersmetingen.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 2 mei 2023"",""waarde"":""Presentatie tweede thematische werkgroep-Verkeersmetingen-2mei2023.pdf""},{""naam"":""Presentatie thematische werkgroep 3 - 30 mei 2023"",""waarde"":""Presentatie derde thematische werkgroep -Verkeersmetingen - 30 mei 2023.pdf""},{""naam"":""Presentatie thematische werkgroep 4 - 27 juni 2023"",""waarde"":""Presentatie vierde thematische werkgroep -Verkeersmetingen - 27 juni 2023 (1).pdf""}]",Semantische standaard voor informatie over Verkeersmetingen,alle entiteiten van de Vlaamse overheid,16/03/2023,,,undefined,undefined,undefined,undefined,undefined
Applicatieprofiel Financiële Data,https://github.com/Informatievlaanderen/OSLO-Generated/raw/production/report/doc/applicatieprofiel/financiele-data/kandidaatstandaard/2022-06-23/all-financieledata-ap.jsonld,"Departement Cultuur, Jeugd en Media",https://data.vlaanderen.be/id/organisatie/OVO000067,17/03/2022,Aanbevolen (vrijwillig),applicatieprofiel,ap-FinanciëleData.md,"[{""naam"":""Financiële Data Applicatieprofiel"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/financiele-data""}]","[{""naam"":""Financiële Data taxonomie-dcjm vocabularium"",""waarde"":""https://data.vlaanderen.be/ns/financiele-data/taxonomie-dcjm""}]","[{""naam"":""OSLO Financiële Data Charter"",""waarde"":""Template-Werkgroep-Charter-OSLO.docx""}]","[{""naam"":""Verslag business werkgroep -  24 februari 2022"",""waarde"":""220224_Verslag_business_werkgroep_OSLO_FinancieleData.pdf""},{""naam"":""Verslag thematische werkgroep 1 - 24 maart 2022"",""waarde"":""220324_Verslag_thematische_werkgroep_1_OSLO_FinancieleData.pdf""},{""naam"":""Verslag thematische werkgroep 2 - 21 april 2022"",""waarde"":""220421_Verslag_thematische_werkgroep_2_OSLO_FinancieleData.pdf""},{""naam"":""Verslag thematische werkgroep 3 - 19 mei 2022"",""waarde"":""220519_Verslag_thematische_werkgroep_3_OSLO_FinancieleData.pdf""}]","[{""naam"":""Presentatie business werkgroep -  24 februari 2022"",""waarde"":""220224_Presentatie_Business_werkgroep_OSLO_FinancieleData.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 24 maart 2022"",""waarde"":""220324_Presentatie_thematische_werkgroep_1_OSLO_FinancieleData.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 21 april 2022"",""waarde"":""220421_Presentatie_thematische_werkgroep_2_OSLO_FinancieleData.pdf""},{""naam"":""Presentatie thematische werkgroep 3 - 19 mei 2022"",""waarde"":""220519_Presentatie_thematische_werkgroep_3_OSLO_FinancieleData.pdf""}]",Semantische standaard voor informatie over Financiële Data,alle entiteiten van de Vlaamse overheid,17/03/2022,,,,undefined,undefined,undefined,undefined
Vocabularium Financiële Data,https://github.com/Informatievlaanderen/OSLO-Generated/raw/production/report/doc/vocabularium/financiele-data/kandidaatstandaard/2022-06-23/all-financieledata-voc.jsonld,"Departement Cultuur, Jeugd en Media",https://data.vlaanderen.be/id/organisatie/OVO000067,17/03/2022,Aanbevolen (vrijwillig),vocabularium,voc-FinanciëleData.md,"[{""naam"":""Financiële Data vocabularium"",""waarde"":""https://data.vlaanderen.be/ns/financiele-data/""}]","[{""naam"":""Financiële Data taxonomie-dcjm vocabularium"",""waarde"":""https://data.vlaanderen.be/ns/financiele-data/taxonomie-dcjm""}]","[{""naam"":""OSLO Financiële Data Charter"",""waarde"":""Template-Werkgroep-Charter-OSLO.docx""}]","[{""naam"":""Verslag business werkgroep -  24 februari 2022"",""waarde"":""220224_Verslag_business_werkgroep_OSLO_FinancieleData.pdf""},{""naam"":""Verslag thematische werkgroep 1 - 24 maart 2022"",""waarde"":""220324_Verslag_thematische_werkgroep_1_OSLO_FinancieleData.pdf""},{""naam"":""Verslag thematische werkgroep 2 - 21 april 2022"",""waarde"":""220421_Verslag_thematische_werkgroep_2_OSLO_FinancieleData.pdf""},{""naam"":""Verslag thematische werkgroep 3 - 19 mei 2022"",""waarde"":""220519_Verslag_thematische_werkgroep_3_OSLO_FinancieleData.pdf""}]","[{""naam"":""Presentatie business werkgroep -  24 februari 2022"",""waarde"":""220224_Presentatie_Business_werkgroep_OSLO_FinancieleData.pdf""},{""naam"":""Presentatie thematische werkgroep 1 - 24 maart 2022"",""waarde"":""220324_Presentatie_thematische_werkgroep_1_OSLO_FinancieleData.pdf""},{""naam"":""Presentatie thematische werkgroep 2 - 21 april 2022"",""waarde"":""220421_Presentatie_thematische_werkgroep_2_OSLO_FinancieleData.pdf""},{""naam"":""Presentatie thematische werkgroep 3 - 19 mei 2022"",""waarde"":""220519_Presentatie_thematische_werkgroep_3_OSLO_FinancieleData.pdf""}]",Semantische standaard voor informatie over Financiële Data,alle entiteiten van de Vlaamse overheid,17/03/2022,,,,undefined,undefined,undefined,undefined
